Description
 Sudden unintended acceleration kills store patron 
" Tesla t-bones sedan, kills pedestrian "
" Tesla strikes sign, burns "
" Tesla runs red, strikes car, burns "
 Tesla rear ends parked fire truck 
 Tesla runs red light after exiting freeway 
 Drunk driver strikes Tesla 
 Police SUV strikes Tesla 
 Tesla strikes turning Lexus 
 Kia rear ends Tesla 
 Struck Ford veers into Tesla's lane 
" Tesla strikes divider, driver falls to death "
 Tire strikes Tesla 
 Tesla kills pedestrian 
 Tesla turns into oncoming traffic 
 Tesla strikes impact attenuator 
 Tesla in multi vehicle crash 
 Tesla kills pedestrian 
 Wrong way driver strikes Tesla 
 Two car collision 
 Three car collision 
" Man thrown from vehicle, struck by Tesla "
 Tesla turns into oncoming motorcyclist 
" Wrong way driver strikes Tesla, Tesla burns "
 Tesla runs red light 
 Tesla into oncoming traffic 
 Subaru strikes Tesla 
 Tesla kills motorcyclist 
 Honda rear ends Tesla 
" Tesla drives through T intersection, into woods "
 Tesla into oncoming traffic 
 Tesla rear ends Ford 
 Tesla kills motorcyclist 
" Tesla drives into office building, kills occupant "
 Tesla kills pedestrian 
 Tesla kills pedestrian 
 Car drifts into Tesla's lane 
 Single car crash near Menifee 
 Tesla strikes construction vehicle 
 Six vehicle crash 
 Tesla rear ends Ford 
 Car drifts into Tesla's lane 
 Tesla kills pedestrian 
 Tesla strikes on-ramp curb 
" Tesla strikes pole, burns "
 BMW strikes Tesla 
 AutoPilot into 18 wheeler 
" Tesla crashes into tree, burns "
 Tesla rear ends stopped car 
 Driver mistakenly believes Autopilot is on 
" Early morning, single car collision "
 Burned in New Ipswich crash 
 Tesla into oncoming traffic 
 Tesla kills motorcyclist 
 Tesla crashes into tree 
 Tesla drives off road 
 Single car collision in Anaheim on SR-91 
 Tesla rear ends stopped car 
 Tesla crashes into tree 
 Concrete falls on Tesla 
 Tesla drives into pond 
" Tesla drives into median, burns "
 Two teens trapped in burning Tesla 
 AutoPilot into highway barrier 
 Sudden unintended acceleration into wall 
 Tesla kills pedestrian 
 Sleeping Tesla driver kills motorcyclist 
 Ohio prom night crash 
 Tesla rear ends stopped car 
 Tesla kills cyclist 
 Tesla kills cyclist 
 Tesla drives off road 
 Tesla kills motorcyclist 
 Wrong way driver strikes Tesla 
 Tesla strikes Camry 
 Tesla into oncoming traffic 
 Tesla into oncoming traffic 
 Tesla kills pedestrian 
 Driver died in pileup 
 Tesla kills pedestrian 
 Driver dead in Winnebago County 
 Indianapolis fire 
 Pileup 
 Tesla kills motorcyclist 
 Tesla drove into wooded ravine 
 Motorcyclist rear ends Tesla 
 Tesla rear ended 
 Tesla kills pedestrian 
 Passat strikes Tesla 
 Nissan Altima wrong way into Tesla 
 AutoPilot into 18 wheeler 
 Pedestrian killed in pileup 
 Chevy Cobalt wrong way into Tesla 
 AutoPilot into street sweeper 
 Sudden unintended acceleration into pool 
 Struck by dumptruck 
 Tesla kills pedestrian 
 Tesla drives off cliff 
 Tesla drives off cliff 
 Tesla drives off cliff 
 Tesla kills motorcyclist 
 Thief crashes stolen Tesla 
 Tesla rear ends stopped car 
 Tesla kills cyclist 
 Tesla veers into opposite lane 
